recipient,amount
0xdec0e7a1e7cfc3b7f3da9ca32232f24ab2570f04,1475607394448480000
0x216530e3ed1a8c9b2c58e4da49941b1df0b6a2e5,1470788675417280000
0x0c4fcee37b1cbcca6b794ae3322735d6f41b74ad,1468843544943280000
0x4af4aa2ab7d83ca1e0a1cf225b231ff0a937a685,1466685854332010000
0x15263d1e0c66b87fa67d4f133a99158b91de7cea,1443142629709910000
0x3e0b0b3190da711f7d1628d70fe3475f0ce4a15e,1442790594134890000
0xca19cde5ce34ed597ddbaa4e2c63134a3d17f43d,1441831089770500000
0x09dc4c1d59c475eeebf56ebc06fd1a266002b3be,1440580401353960000
0x67d8d89769935547a9e1a970a3c109b1cf57a1cc,1426361977406570000
0x6ee54a73e7216f9fa7668a9dbf944a48615ae0f9,1424160986640850000
0xaf73c18c90cabde58402acff4b9d16f30f029ddd,1414626138552400000
0x1aea5e7a094ab5f411bc478ca8c86f0424c63de1,1404037331090800000
0x4c182f66f8a4901481a8ee9c2f2afea85716a6af,1396283232586260000
0x55b5d473e68dc083de5e253a1d473212bc91f936,1395321700877430000
0xccbbed706a5fbf6d23839bd4d853e9416d8b03d6,1381855189662150000
0xc0b36d3f37cc6030e9768bd49bbcfebb6c711cd4,1381779889623720000
0x6c7bdd8be7d666fbd3a0474f1079c78e1346347f,1377278488419780000
0xe230467583ebd7f19a7f20e2921151d9734aae97,1375463436501240000
0xbb67987c040619842b0f8b0257bde63be842b27b,1367416612639120000
0x792b62f48bcf3cf086bc6ccf0d1227c39908c989,1363030794122530000
0x8da95243c1d33e2c8064c83d06b262b03dfca457,1346924954246800000
0xf80633724f03dd47d708bde889a283233f2121c1,1345097216777470000
0xbcd96bbd68958afafe2bd12ec9308c4a9c7e7aac,1341310463505490000
0xfe5b666f2ea96c2441ef99d0e6f844d4c388bea4,1339476175780360000
0xaa1c27f77e1fb854421b6637e124f1ddc9b0b2db,1338965735043810000
